PING ycombinator.com (52.84.169.3) 56(84) bytes of data.
64 bytes from 52.84.169.3: icmp_seq=1 ttl=243 time=149 ms
64 bytes from 52.84.169.3: icmp_seq=3 ttl=243 time=28.7 ms
64 bytes from 52.84.169.3: icmp_seq=4 ttl=243 time=30.7 ms
64 bytes from 52.84.169.3: icmp_seq=5 ttl=243 time=28.8 ms
64 bytes from 52.84.169.3: icmp_seq=6 ttl=243 time=28.4 ms
64 bytes from 52.84.169.3: icmp_seq=7 ttl=243 time=28.6 ms
64 bytes from 52.84.169.3: icmp_seq=8 ttl=243 time=28.8 ms
64 bytes from 52.84.169.3: icmp_seq=9 ttl=243 time=31.6 ms
64 bytes from 52.84.169.3: icmp_seq=10 ttl=243 time=31.2 ms
64 bytes from 52.84.169.3: icmp_seq=11 ttl=243 time=30.4 ms
64 bytes from 52.84.169.3: icmp_seq=12 ttl=243 time=30.6 ms
64 bytes from 52.84.169.3: icmp_seq=13 ttl=243 time=30.6 ms
64 bytes from 52.84.169.3: icmp_seq=14 ttl=243 time=27.8 ms
64 bytes from 52.84.169.3: icmp_seq=15 ttl=243 time=28.8 ms
64 bytes from 52.84.169.3: icmp_seq=16 ttl=243 time=27.7 ms
64 bytes from 52.84.169.3: icmp_seq=17 ttl=243 time=31.1 ms
64 bytes from 52.84.169.3: icmp_seq=18 ttl=243 time=28.4 ms
64 bytes from 52.84.169.3: icmp_seq=19 ttl=243 time=29.3 ms
64 bytes from 52.84.169.3: icmp_seq=20 ttl=243 time=28.6 ms
64 bytes from 52.84.169.3: icmp_seq=21 ttl=243 time=27.4 ms
64 bytes from 52.84.169.3: icmp_seq=22 ttl=243 time=27.6 ms
64 bytes from 52.84.169.3: icmp_seq=23 ttl=243 time=28.2 ms
64 bytes from 52.84.169.3: icmp_seq=24 ttl=243 time=34.7 ms
64 bytes from 52.84.169.3: icmp_seq=25 ttl=243 time=28.2 ms
64 bytes from 52.84.169.3: icmp_seq=26 ttl=243 time=27.5 ms
64 bytes from 52.84.169.3: icmp_seq=27 ttl=243 time=28.5 ms
64 bytes from 52.84.169.3: icmp_seq=28 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=29 ttl=243 time=29.4 ms
64 bytes from 52.84.169.3: icmp_seq=30 ttl=243 time=28.0 ms
64 bytes from 52.84.169.3: icmp_seq=31 ttl=243 time=28.4 ms
64 bytes from 52.84.169.3: icmp_seq=32 ttl=243 time=29.2 ms
64 bytes from 52.84.169.3: icmp_seq=33 ttl=243 time=32.5 ms
64 bytes from 52.84.169.3: icmp_seq=34 ttl=243 time=35.0 ms
64 bytes from 52.84.169.3: icmp_seq=35 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=36 ttl=243 time=28.8 ms
64 bytes from 52.84.169.3: icmp_seq=37 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=38 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=39 ttl=243 time=29.5 ms
64 bytes from 52.84.169.3: icmp_seq=40 ttl=243 time=28.8 ms
64 bytes from 52.84.169.3: icmp_seq=41 ttl=243 time=28.5 ms
64 bytes from 52.84.169.3: icmp_seq=42 ttl=243 time=28.1 ms
64 bytes from 52.84.169.3: icmp_seq=43 ttl=243 time=29.3 ms
64 bytes from 52.84.169.3: icmp_seq=44 ttl=243 time=29.1 ms
64 bytes from 52.84.169.3: icmp_seq=45 ttl=243 time=31.4 ms
64 bytes from 52.84.169.3: icmp_seq=46 ttl=243 time=27.9 ms
64 bytes from 52.84.169.3: icmp_seq=47 ttl=243 time=28.2 ms
64 bytes from 52.84.169.3: icmp_seq=48 ttl=243 time=32.0 ms
64 bytes from 52.84.169.3: icmp_seq=49 ttl=243 time=28.2 ms
64 bytes from 52.84.169.3: icmp_seq=50 ttl=243 time=28.5 ms
64 bytes from 52.84.169.3: icmp_seq=51 ttl=243 time=27.7 ms
64 bytes from 52.84.169.3: icmp_seq=52 ttl=243 time=28.7 ms
64 bytes from 52.84.169.3: icmp_seq=53 ttl=243 time=27.8 ms
64 bytes from 52.84.169.3: icmp_seq=54 ttl=243 time=28.3 ms
64 bytes from 52.84.169.3: icmp_seq=55 ttl=243 time=27.9 ms
64 bytes from 52.84.169.3: icmp_seq=56 ttl=243 time=28.2 ms
64 bytes from 52.84.169.3: icmp_seq=57 ttl=243 time=28.5 ms
64 bytes from 52.84.169.3: icmp_seq=58 ttl=243 time=32.3 ms
64 bytes from 52.84.169.3: icmp_seq=59 ttl=243 time=29.0 ms
64 bytes from 52.84.169.3: icmp_seq=60 ttl=243 time=28.4 ms
64 bytes from 52.84.169.3: icmp_seq=61 ttl=243 time=29.9 ms
64 bytes from 52.84.169.3: icmp_seq=62 ttl=243 time=28.4 ms
64 bytes from 52.84.169.3: icmp_seq=63 ttl=243 time=29.0 ms
